회사이름,채용정보,채용조건,Job Sector
주식회사 하이엔드코리아관심기업 등록,[LG이노텍] 대기업계약직 사원/스마트폰부품/기숙사/통근차스크랩,대구전체 외경력무관 · 계약직학력무관,"임베디드, 기계조작원, 단순생산직, 생산관리, QA"
해커스교육그룹관심기업 등록챔프스터디그룹,2024년 해커스 교육그룹 [신입/경력] 각 부문별 채용공고스크랩,서울 서초구 외신입 · 경력 · 정규직 외학력무관,"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 유지보수"
키엔스코리아(주)관심기업 등록외국계,2024년 신입사원 채용 (기술엔지니어)스크랩,경기 성남시 분당구 외신입 · 정규직대학교(4년)↑,"C#, C++, 기계조작원, 공정엔지니어, 기술엔지니어"
수협은행관심기업 등록대기업,신입행원 채용공고스크랩,대구전체 외신입 · 정규직학력무관,"데이터분석가, 보안컨설팅, 정보보안, IT컨설팅, 인프라"
(재)만불회관심기업 등록,"경리,행정,전산,편집디자인,영상,유튜브,만불신문편집,만불출판편집,TM사원,운전기사 직원채용스크랩",대구 동구 외신입 · 경력 · 정규직 외학력무관,"유지보수, ERP, Windows, MySQL, OracleDB"
주식회사 리만코리아관심기업 등록,(주)리만코리아 경력직 채용 (서울/대구)스크랩,대구전체 외경력 · 정규직 외학력무관,"데이터분석가, 백엔드/서버개발, 보안컨설팅, 정보보안, 프론트엔드"
대구경북과학기술원부설한국뇌연구원관심기업 등록공사·공기업,[실증지원사업단] 제2차 사업단 직원(계약직) 채용_기술직스크랩,대구 동구경력 5년↑ · 계약직대학교(4년)↑,"데이터분석가, 데이터엔지니어, 앱개발, 웹개발, 정보보안"
대구경북과학기술원부설한국뇌연구원관심기업 등록공사·공기업,[실증지원사업단] 제2차 사업단 직원(계약직) 채용_연구직스크랩,대구 동구신입 · 경력 · 계약직대학교(4년)↑,"데이터분석가, 앱개발, 웹개발, 빅데이터, AI(인공지능)"
(주)인포셋관심기업 등록,[ICT/WEB] UI/UX 디자인&퍼블리셔 경력 채용스크랩,"대구 수성구경력 2년↑ · 정규직대학(2,3년)↑","프론트엔드, 반응형웹, 웹표준·웹접근성, 크로스브라우징, CSS3"
교세라도큐먼트솔루션스코리아(주)관심기업 등록외국계,서비스 직원 채용 [ 경북지점 ]스크랩,"대구 북구신입 · 경력 · 정규직대학(2,3년)↑","유지보수, A/S기사, 기계수리, 네트워크"
(주)디알테크아이앤씨관심기업 등록,POS 유지보수 고객지원부(대구지사) 사원 모집스크랩,대구 서구경력무관 · 정규직고졸↑,"유지보수, H/W, 정비기사, A/S기사"
수성입찰관심기업 등록,[대구] 수성입찰 분석팀 정규직 채용공고스크랩,대구 수성구경력무관 · 정규직고졸↑,"데이터분석가, 백엔드/서버개발, 보안컨설팅, 앱개발, IT컨설팅"
(주)이로컨설팅관심기업 등록,대구 반야월역  (주)이로컨설팅 분석팀 정규직 채용공고스크랩,대구 동구경력무관 · 정규직고졸↑,"데이터분석가, 고객안내, 고객응대, 인플루언서마케팅, 체험마케팅"
스마트입찰관심기업 등록,[두류역] 스마트입찰 분석팀 정규직 채용공고스크랩,대구 서구경력무관 · 정규직고졸↑,"데이터분석가, 백엔드/서버개발, 앱개발, 웹개발, IT컨설팅"
정보와기술(주)관심기업 등록정보와기술그룹,"대구지방법원 (안동지원, 경주지원) - 법원 전산장비 유지보수스크랩",대구 수성구경력 1년↑ · 계약직고졸↑,"유지보수, H/W, S/W"
발레오모빌리티코리아(주)관심기업 등록외국계,IS manager 경력 모집스크랩,대구전체 외5 ~ 10년 · 정규직대학교(4년)↑,"기술지원, 보안컨설팅, 정보보안, CISO, R"
㈜설텍관심기업 등록,기술연구소 전기.전자 하드웨어 설계 경력 및 신입사원 모집.스크랩,대구 달서구경력무관 · 정규직대학교(4년)↑,"임베디드, H/W, IoT, MCU, S/W"
티에스관심기업 등록,KT유선전문점) 전산 사무 직원 구합니다. (판매X영업X )스크랩,대구 달서구경력무관 · 정규직학력무관,정보통신
예반관심기업 등록,2024년 함께할 감각있고 센스있는 웹디자이너를 찾고 있습니다.스크랩,대구 서구경력무관 · 정규직고졸↑,"웹마스터, 사이트관리, 온라인MD, 상품관리, 쇼핑몰"
(주)아이디정보시스템관심기업 등록,[대구] 솔루션영업(기술지원팀) 신입사원 모집공고스크랩,대구 수성구신입 · 경력 · 정규직학력무관,"기술지원, 유지보수, H/W, 솔루션기술영업, S/W"
(주)아이디정보시스템관심기업 등록,[대구] 솔루션영업(영업팀) 팀장급 모집공고스크랩,대구 수성구경력 5년↑ · 정규직학력무관,"기술지원, 유지보수, H/W, 솔루션기술영업, S/W"
소프트웨어재난연구센터관심기업 등록,소프트웨어재난연구센터 연구원 채용공고스크랩,대구 북구경력무관 · 계약직대학교(4년)↑,"S/W, C++, Java, 기술연구, 대학원"
(주)플레이파크관심기업 등록,[대구]회사와 함께 성장할 유니티 개발자 모십니다.스크랩,대구 북구경력(년수무관) · 정규직 외학력무관,"게임개발, 앱개발, AR(증강현실), S/W, VR(가상현실)"
(주)플레이파크관심기업 등록,[대구] 회사와 함께 성장할 2D/3D디자이너 모집스크랩,대구 북구신입 · 경력 · 정규직 외학력무관,"모델링, 게임디자인, 그래픽디자인, 모바일디자인, 애니메이터"
(주)엔터인관심기업 등록,(주)엔터인에서 백앤드(Node.js) 개발자를 모집중 입니다.스크랩,"대구 수성구3 ~ 12년 · 정규직대학(2,3년)↑","백엔드/서버개발, 프론트엔드, ERP, Apache, Eclipse"
계명대학교관심기업 등록,계명대학교 장애인 기간제 계약직원 채용 공고(전산운영팀)스크랩,대구 달서구신입 · 계약직학력무관,"기술지원, 교육행정, 대학교"
계명대학교관심기업 등록,계명대학교 기간제 계약직원 채용 공고(통신망 관리)스크랩,"대구 달서구경력무관 · 계약직대학(2,3년)↑","기술지원, 교육행정, 대학교, 통신공사, 유지보수"
삼성글로벌정형외과의원관심기업 등록,Team SGOC 병원 웹/앱개발 / 백엔드개발자 모집스크랩,대구 수성구경력(년수무관) · 정규직학력무관,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발"
이인텔리전스(주)관심기업 등록,[ADAS 개발] 차량제어 (Vehicle Control) 신입 / 경력사원 채용스크랩,대구 북구신입 · 경력 · 정규직대학교(4년)↑,"자율주행, C++, Matlab, 연구원"
엘브이아이에스코리아(주)관심기업 등록외국계,(AI/Healthcare) 3D WebGL 엔지니어 모집스크랩,서울 서초구 외경력 2년↑ · 정규직 외대학교(4년)↑,"웹개발, AI(인공지능), HTML5, Java, Javascript"
주식회사에스에스클랜관심기업 등록,디자인 마켓팅 사원 모집스크랩,"대구 달서구신입 · 경력 · 정규직 외대학(2,3년)↑","앱개발, 웹개발, 유지보수, Angular, ECMAScript"
에스케이티엔에스(주)관심기업 등록네트웍인프라홀딩스그룹대기업,SK TNS 2024년 하반기 전환형 인턴 채용스크랩,대구전체 외신입 · 인턴직대학교(4년)↑,"ICT컨설팅, 정보통신, 채용담당자, ER(노무관리), HRD"
(주)아바코관심기업 등록아바코그룹코스닥,각 부문 경력직 및 신입직원 모집스크랩,"대구 달서구신입 · 경력 · 정규직대학(2,3년)↑","C#, C++, 회계사, 연말정산, 총무"
(주)오케이포스관심기업 등록NICE그룹,[NICE그룹/오케이포스] 솔루션 원격지원 담당(대구)스크랩,대구 북구신입 · 경력 · 정규직고졸↑,"솔루션, 고객안내, H/W"
똑똑마케팅관심기업 등록,[똑똑마케팅] 서버 개발자님 공고스크랩,대구 수성구경력 3년↑ · 정규직대학교(4년)↑,"백엔드/서버개발, 알고리즘, 아키텍쳐, AWS, Git"
(주)올인벤처스관심기업 등록,[올인벤처스] 웹디자이너 경력자(사원급) 모집스크랩,대구 남구경력 3년↑ · 정규직학력무관,"CSS, HTML, 웹디자인, 일러스트레이터, 상세페이지"
(주)하이커스관심기업 등록,주식회사 하이커스 채용 ( 관리 및 사무 )스크랩,"대구 수성구경력무관 · 정규직대학(2,3년)↑","앱개발, 웹개발, 유지보수, 사무직, 문서작성"
(주)메디칼스탠다드관심기업 등록,기술 서비스팀 PACS S/W 엔지니어 모집 (대구지사)스크랩,"대구 동구신입 · 경력 · 정규직대학(2,3년)↑","기술지원, 네트워크, MySQL, OracleDB, SQL"
(주)이로움관심기업 등록,임베디드 S/W 개발 신입/경력자 모집스크랩,"대구 서구신입 · 경력 · 정규직대학(2,3년)↑","앱개발, 임베디드, 정보통신, 펌웨어, IoT"
한국스마트기술센터관심기업 등록,"스마트팩토리 MES 구축 SI 개발자 (경력, 프론트/백엔드/풀스텍)스크랩",대구전체 외경력 2년↑ · 정규직학력무관,"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 프론트엔드"
웨이즈원(주)관심기업 등록,"[웨이즈원(주)] 현장조사 직무 채용 (계약직 / 의왕, 대구)스크랩","대구전체 외경력 5년↓ · 계약직대학(2,3년)↑","GIS, ArcGIS, QGIS, 도시개발, 도시교통"
(주)한맥아이피에스관심기업 등록,주차관제 유지보수 인원 채용스크랩,대구 수성구경력무관 · 정규직학력무관,"기술지원, 유지보수, 캐셔, 고객응대, 메일상담"
(주)기가스관심기업 등록,글로벌 결제서비스 UX.UI디자이너 주임~대리스크랩,대구 수성구경력 2년↑ · 정규직대학교(4년)↑,"퍼블리셔, 프론트엔드, 시각디자인, 웹디자인, UI/UX디자인"
(주)에이치코비관심기업 등록,"수질측정기 유지관리 직원 [수질, 환경, 화공,전기]스크랩","대구전체 외신입 · 경력 · 정규직대학(2,3년)↑","기술지원, 유지보수, 정보통신, 정비기사, 기계수리"
(주)투비스관심기업 등록,[솔루션] [S/W] S/W 개발 정규직 채용(경력자)스크랩,"대구 동구경력(년수무관) · 정규직대학(2,3년)↑","네트워크, 솔루션, 인프라, 자율주행, H/W"
(주)케이원관심기업 등록케이원그룹외국계,경북북부지역 CCTV유지보수 인력1명모집스크랩,"대구 달서구경력무관 · 정규직대학(2,3년)↑",유지보수
(주)정우비앤에스관심기업 등록,"대구 정보통신기사모집(영상,음향,CCTV,전광판) 신입가능스크랩",대구 북구경력무관 · 정규직고졸↑,"네트워크, 정보통신"
웬스관심기업 등록,[2명 채용] [웹개발] 시스템 응용프로그램 개발자스크랩,대구 동구경력 2년↑ · 정규직대학교(4년)↑,"백엔드/서버개발, 앱개발, 웹개발, 프론트엔드, 프로그램설계"
(주)포위즈시스템관심기업 등록,개발 경력직 모집스크랩,"대구 동구4 ~ 10년 · 계약직대학(2,3년)↑","웹개발, 퍼블리셔, DBA, SI개발, 반응형웹"
(주)유알정보기술관심기업 등록,(주)유알정보기술 정규직 금융기관 전산 유지보수 파견 근무스크랩,대구 동구신입 · 정규직학력무관,"네트워크, 유지보수"
(사)한국아이씨티기술협회관심기업 등록,[국비무료 IT 취업]자바파이썬/빅데이터/AI외스크랩,대구전체 외경력무관 · 교육생학력무관,"데이터분석가, 데이터엔지니어, 앱개발, 웹개발, 웹마스터"
(주)아이링크관심기업 등록,기술지원팀 네트워크 유지보수 신입사원 모집합니다스크랩,"대구 중구신입 · 정규직대학(2,3년)↑","네트워크, 유지보수, 정보통신"
가인통신관심기업 등록,"[SKB/광선로] 통신공사 현장 광접속 1명,  작업관리 공무 1명스크랩",대구 북구신입 · 경력 · 정규직고졸↑,"정보통신, 공무, 통신설계, 통신공사"
(주)케이티씨에스관심기업 등록케이티그룹대기업파견·도급·대행,[남대구점] kt플라자 채용공고스크랩,대구 남구신입 · 경력 · 계약직학력무관,정보통신
(주)그라운드컨트롤관심기업 등록,[플랫폼개발] 풀스택 / 백엔드 / 프론트엔드스크랩,대구전체 외3 ~ 8년 · 정규직학력무관,"백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드, DBA"
(주)티아젠정보관심기업 등록,[시스템-설치/운영] 서버구축/유지보수 기술영업 (신입/경력)스크랩,"대구 동구경력무관 · 정규직대학(2,3년)↑","IT컨설팅, ICT컨설팅, 네트워크, 정보통신, 클라우드"
소프트랩흄관심기업 등록,웹/모바일 프론트엔드 신입 개발자 구인(재택/원격가능)스크랩,대구 동구 외신입 · 정규직학력무관,"앱개발, 웹개발, 프론트엔드, 반응형웹, 모바일디자인"
(주)보토관심기업 등록,(주)보토 - 풀스택(Full Stack) 개발자 모집 공고스크랩,대구 동구신입 · 경력 · 정규직학력무관,"기술지원, 백엔드/서버개발, 웹개발, 유지보수, SI개발"
엠제이소프트관심기업 등록,SW 경력자 구함 / C# / android /JAVA 연봉4000~5000 / 대구스크랩,"대구 수성구경력 3년↑ · 계약직대학(2,3년)↑","Android, C#, Java, 솔루션, C++"
(주)엠제이소프트관심기업 등록,C#/안드로이드/JAVA  개발 경력자 채용 / 수성구(4000-5000)스크랩,"대구 수성구경력 3년↑ · 정규직대학(2,3년)↑","Android, C#, Java, 솔루션, C++"
(주)아이엠뱅크관심기업 등록DGB금융지주그룹대기업,iM뱅크(前대구은행) 하반기 전문직(경력직) 채용공고스크랩,대구전체 외경력 · 계약직학력무관,"백엔드/서버개발, 앱개발, 웹개발, 퍼블리셔, 프론트엔드"
바인컴퍼니(주)관심기업 등록,스마트팩토리 우수공급기업 바인컴퍼니 개발자모집(경력)스크랩,"대구전체 외경력 3년↑ · 정규직대학(2,3년)↑","PM(프로젝트매니저), 개발PM, 솔루션, 개발관리자"
인성데이타(주)관심기업 등록바이크뱅크그룹,신입 정보보안 담당자 채용스크랩,대구 서구신입 · 정규직학력무관,"정보보안, 네트워크, 방화벽, ISMS"
(주)이수페타시스관심기업 등록이수그룹대기업,"(주)이수페타시스 경력직 채용 (IT/보안, 비서)스크랩",대구 달성군경력 2년↑ · 계약직대학교(4년)↑,"정보보안, 비서, 수행비서, 임원비서, 보안관제"
(주)오케이포스관심기업 등록NICE그룹,[NICE그룹/오케이포스] 솔루션 원격지원 담당(대구/야간근무)스크랩,대구 북구신입 · 경력 · 정규직고졸↑,"솔루션, 고객안내, H/W"
에이에프더블류(주)관심기업 등록코스닥,A.F.W(주) 전산팀 신입/경력 모집스크랩,"대구 달성군경력 1년↑ · 계약직대학(2,3년)↑","정보보안, 네트워크, 정보통신, H/W, S/W"
(주)이수시스템관심기업 등록이수그룹,이수시스템 24년 경력직 채용스크랩,대구전체 외경력 · 정규직대학교(4년)↑,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅"
(주)디스트릭트코리아관심기업 등록디스트릭트코리아그룹외국계,[디스트릭트-대구오피스] 사내 그룹웨어 닷넷 개발자스크랩,대구전체 외2 ~ 5년 · 정규직학력무관,"백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드, DBA"
바이오링크 주식회사관심기업 등록,"[바이오링크] 풀스택 개발자(신입, 경력 2년) 정규직 모집공고스크랩",대구 달서구신입 · 경력 · 정규직대학교(4년)↑,"백엔드/서버개발, AWS, Java, Javascript, MySQL"
바이오링크 주식회사관심기업 등록,[바이오링크] 풀스택 개발자(경력 5년 이상) 정규직 모집공고스크랩,대구 달서구5 ~ 12년 · 정규직대학교(4년)↑,"백엔드/서버개발, AWS, Java, Javascript, MySQL"
(주)코그관심기업 등록코그그룹,시네마틱(대구/서울)스크랩,대구 중구경력 3년↑ · 정규직학력무관,"게임개발, GM(게임운영), Unreal, 게임디자인, 그래픽디자인"
(주)우석이앤씨관심기업 등록,정보통신  사무 보조원 모집함.스크랩,대구 북구경력무관 · 정규직학력무관,"네트워크, 솔루션, 인프라, 클라우드, IIS"
(주)카택스관심기업 등록,[카택스] B2B CX(고객경험) 인재분을 모십니다.스크랩,대구 달서구경력무관 · 정규직학력무관,"솔루션, S/W, SaaS, 영업관리, 솔루션기술영업"
(주)메가젠임플란트관심기업 등록메가젠임플란트그룹,[R&D부문] 유닛체어개발팀 기구/펌웨어 설계 담당자 모집스크랩,"대구 달성군1 ~ 5년 · 정규직대학(2,3년)↑","펌웨어, S/W, C#, C++, C언어"
한국지능정보사회진흥원관심기업 등록공사·공기업,2024년 3차 계약직 채용공고(ICT사업관리)스크랩,대구전체경력무관 · 계약직학력무관,"ICT컨설팅, 사업기획, 사업개발, 사업관리"
제이픽스관심기업 등록,정규직 웹디자이너를 모집합니다.스크랩,대구 동구경력무관 · 정규직학력무관,"CSS, HTML5, jQuery, 일러스트, PhotoShop"
W병원관심기업 등록,[W병원] 시설관리과 전산직 채용 공고스크랩,"대구 달서구경력 2년↑ · 정규직대학(2,3년)↑","유지보수, 방화벽, 일반병원, 네트워크, 인프라"
(주)유비텍관심기업 등록,넥사크로 개발자 및 JAVA개발자 경력자 모집스크랩,"대구 남구경력 2년↑ · 계약직대학(2,3년)↑","웹개발, 네트워크, CSS, HTML5, Java"
(주)플로우관심기업 등록,[FLOW] 웹  디자인(퍼블리셔) 담당자 채용스크랩,대구 수성구경력 3년↑ · 정규직 외대학교(4년)↑,"웹개발, 퍼블리셔, 프론트엔드, Ajax, CSS"
너울테크관심기업 등록,[S/W] 역무자동화설비 현장유지보수 경력직 채용 (C언어/MFC)스크랩,"대구 남구 외경력 2년↑ · 계약직대학(2,3년)↑","DBMS, S/W, C++, MFC, OracleDB"
너울테크관심기업 등록,C언어 / MFC 응용소프트웨어 개발자 경력직 채용스크랩,"대구 남구경력 3년↑ · 계약직대학(2,3년)↑","DBMS, S/W, C#, C++, MFC"
너울테크관심기업 등록,C언어 / MFC 응용소프트웨어 개발자 경력직 채용 (연봉협상가능)스크랩,"대구 남구경력 3년↑ · 계약직대학(2,3년)↑","S/W, C#, C++, MFC, OracleDB"
(주)오션라이트에이아이관심기업 등록,(주) 오션라이트에이아이 AI 빅데이터 전문 인력 채용스크랩,대구 동구신입 · 경력 · 정규직 외대학교(4년)↑,"데이터분석가, 데이터엔지니어, 데이터라벨링, 데이터마이닝, 알고리즘"
(주)쓰리에이치관심기업 등록,(주)쓰리에이치 소프트웨어 개발자 모집합니다.스크랩,"대구 동구신입 · 경력 · 계약직대학(2,3년)↑","백엔드/서버개발, 앱개발, 웹개발, 정보보안, 프론트엔드"
피닉슨컨트롤스(주)관심기업 등록,[대구사업장] 2차전지 배터리 검사장비 SW 신입/경력 모집스크랩,대구 달성군신입 · 경력 · 정규직학력무관,"S/W, C#, C++, MFC, VisualC·C++"
(주)니어네트웍스관심기업 등록,"AI 개발자, Window 앱개발자, IT기획자, PC 엔지니어 경력자스크랩",대구 달서구경력 2년↑ · 계약직대학교(4년)↑,"앱개발, 딥러닝, 사업기획, 네트워크, 빅데이터"
(주)범우관심기업 등록,통신공사 업무 현장 시공 경력 사원을 모집함.스크랩,"대구 북구경력 2년↑ · 정규직대학(2,3년)↑","정보통신, S/W, 통신설계, 내진설계, 배전반설계"
(재)우체국금융개발원관심기업 등록과학기술정보통신부그룹,2024년 5차 공개채용 공고(청년인턴)스크랩,서울 영등포구 외경력무관 · 인턴직학력무관,"정보보안, 정보통신, 사무행정, 자료조사, 정보처리"
(주)케이티씨에스관심기업 등록케이티그룹대기업파견·도급·대행,[동대구점] kt플라자 채용공고스크랩,대구 동구신입 · 경력 · 계약직학력무관,정보통신
(주)아이엔에스관심기업 등록,경력있는 웹디자이너를 모집합니다.스크랩,대구 수성구경력 1년↑ · 정규직 외학력무관,"퍼블리셔, CSS, HTML5, 웹디자인, UI/UX디자인"
(주)어컴시스템관심기업 등록,(주)어컴시스템 웹/앱 개발자 부문 경력 채용스크랩,"대구 북구경력 3년↑ · 정규직대학(2,3년)↑","백엔드/서버개발, 앱개발, 웹개발, 클라우드, API"
(주)퓨전소프트관심기업 등록,SI 및 웹 개발자 채용(프리랜서)스크랩,대구전체 외경력 3년↑ · 프리랜서학력무관,"웹개발, Java, 정보보안, 모델링, 빅데이터"
(주)플로우관심기업 등록,디자이너 경력직 채용스크랩,대구 수성구경력 5년↑ · 정규직 외대학교(4년)↑,"웹개발, CSS, HTML, 시각디자인, 웹디자인"
태창철강(주)관심기업 등록태창철강그룹,[티시아이티] 정보시스템 개발 및 유지보수(신입/경력)스크랩,대구전체 외신입 · 경력 · 정규직학력무관,"기술지원, 유지보수, Java, Javascript, Spring"
거산산업(주)관심기업 등록,plc 프로그램 운영자스크랩,"대구 달성군경력 15년↑ · 정규직대학(2,3년)↑",기술지원
주식회사펀셰어관심기업 등록,소프트웨어 신입/경력 프론트엔드 개발자 채용(Flutter)스크랩,"대구 달서구신입 · 경력 · 정규직대학(2,3년)↑","앱개발, 웹개발, 프론트엔드, ASP, AWS"
(주)네트로관심기업 등록,기술지원팀 경력직 모집합니다.스크랩,"대구 수성구경력 2년↑ · 정규직대학(2,3년)↑","기술지원, 유지보수, 네트워크"
(주)위즈코리아관심기업 등록위즈코리아그룹,㈜위즈코리아/㈜위즈COK '24년 하반기 신입/경력 사원 모집스크랩,대구전체 외신입 · 경력 · 정규직 외학력무관,"백엔드/서버개발, 웹개발, 정보보안, 퍼블리셔, 프론트엔드"
세기정보통신(주)관심기업 등록,POS 시스템 설치 및 유지보수(대구)스크랩,"대구 달성군경력무관 · 정규직대학(2,3년)↑","유지보수, 네트워크"
(주)비즈하이관심기업 등록,IDC 서버관리자 신입/경력 모집스크랩,대구 수성구신입 · 경력 · 정규직학력무관,"SE(시스템엔지니어), 네트워크, IIS, Nginx, Windows"
유니온시스템관심기업 등록,"하드웨어 (무선통신회로,컨트롤회로,RF회로) 개발자 모집스크랩",대구 수성구경력 2년↑ · 정규직대학교(4년)↑,"임베디드, 자율주행, FPGA, H/W, MCU"
(주)한국이티에스관심기업 등록,"[대구] 수질측정기 TMS 유지관리 직원 (수질, 환경, 화공, 전기)스크랩","대구전체 외신입 · 경력 · 정규직대학(2,3년)↑","기술지원, 유지보수, 정보통신, H/W, 수질분석"
바이오링크 주식회사관심기업 등록,[바이오링크] 인공지능(AI) 개발자 인턴 채용스크랩,대구 달서구신입 · 경력 · 인턴직박사,"딥러닝, AI(인공지능), 머신러닝, 알고리즘, 컴퓨터비전"
(주)케이앤엘정보시스템관심기업 등록,Java/jsp/React 웹프로그래머 담당자 채용 공고스크랩,"대구 북구신입 · 경력 · 정규직대학(2,3년)↑","웹개발, Java, JSP, React, Spring"
지엘테크21(주)관심기업 등록,"IT개발·데이터(솔루션, SI, SM, C# , java) 경력자스크랩",대구 달서구2 ~ 5년 · 정규직대학교(4년)↑,"웹개발, 유지보수, 프론트엔드, SI개발, 솔루션"
(주)러번네트워크관심기업 등록,지역개발사업 컨설팅 연구원 모집[대구지사]스크랩,대구 동구경력무관 · 정규직대학교(4년)↑,"ArcGIS, 학술연구, 경관디자인, 공간디자인, 시각디자인"
(주)케이에스엔티관심기업 등록,[KSNT]H/W 경험 or 기계 공학 관련 경력직(5년이상) 모집스크랩,대구 동구경력 5년↑ · 정규직대학교(4년)↑,"H/W, 기술연구"
(주)유비텍관심기업 등록,정보보안 네트워크 관련 업무 구인/대구교육대학교 근무스크랩,"대구 남구경력무관 · 계약직 외대학(2,3년)↑","유지보수, 네트워크, 정보통신, 정보보안, 보안장비"
경북대학교 첨단정보통신융합산업기술원관심기업 등록,경북대학교 첨단기술원/스타트업지원센터 공동 채용(2024-3호)스크랩,대구전체 외경력무관 · 계약직학력무관,"S/W, 연구원, R&D, 전자파, 경영기획"
(주)나도소프트관심기업 등록,IT보안 기술 엔지니어 채용스크랩,"대구 동구신입 · 경력 · 정규직대학(2,3년)↑","기술지원, 보안컨설팅, 유지보수, 정보보안, 네트워크"
(주)코그관심기업 등록코그그룹,서버스크랩,대구 중구신입 · 경력 · 정규직학력무관,"게임개발, GM(게임운영), C#, C++"
(주)코그관심기업 등록코그그룹,클라이언트스크랩,대구 중구신입 · 경력 · 정규직학력무관,"게임개발, C++, Directx, 게임디자인, 3D디자인"
㈜신라공업관심기업 등록신라공업그룹,전산운영실 경력직 채용 ( IT/전산 )스크랩,"대구전체 외경력 3년↑ · 정규직대학(2,3년)↑","기술지원, 유지보수, 정보보안, 네트워크, 방화벽"
유니온시스템관심기업 등록,전자회로 펌웨어 프로그래머 정규직 채용스크랩,대구 수성구경력 4년↑ · 정규직대학교(4년)↑,"네트워크, 임베디드, H/W, MCU, RTOS"
